iter	Logloss
0	0.5764261838
1	0.5114551427
2	0.4665086614
3	0.4389739232
4	0.420495631
5	0.4011514229
6	0.388195158
7	0.3787722525
8	0.3690015042
9	0.3598988682
10	0.3496490374
11	0.3442717348
12	0.3348334169
13	0.3244587416
14	0.3205753602
15	0.3177236929
16	0.3138288878
17	0.3090712026
18	0.3039437378
19	0.3008956206
20	0.297992766
21	0.2930725192
22	0.288319073
23	0.2865696726
24	0.2829850015
25	0.2772639234
26	0.2736288119
27	0.2706690826
28	0.2689069262
29	0.2653757589
30	0.2618299116
31	0.2568365603
32	0.2549984762
33	0.2539859753
34	0.252430321
35	0.2487134245
36	0.2465743201
37	0.243064918
38	0.2418774396
39	0.2387714684
40	0.2379760628
41	0.2360976149
42	0.2336678204
43	0.2290738165
44	0.2262394743
45	0.2239288631
46	0.2221171345
47	0.2192337693
48	0.2167465589
49	0.2150165124
50	0.2119144336
51	0.2098290472
52	0.2086164647
53	0.2069805097
54	0.2048329496
55	0.2034406284
56	0.2007815073
57	0.199158614
58	0.1986442429
59	0.1975004018
60	0.1955465632
61	0.194295976
62	0.1935516302
63	0.1916767232
64	0.1909965366
65	0.1906236118
66	0.1886058674
67	0.1868086824
68	0.1856498383
69	0.1841142792
70	0.1823310411
71	0.1814971149
72	0.1799918821
73	0.1790497336
74	0.1775051678
75	0.1767990295
76	0.1757504684
77	0.174185751
78	0.1731024367
79	0.1723788163
80	0.1703196972
81	0.1688940376
82	0.168068282
83	0.1669098916
84	0.1663327811
85	0.1655771808
86	0.1643818883
87	0.1634222333
88	0.1629636874
89	0.1622827978
90	0.1618206841
91	0.1608903181
92	0.1599094758
93	0.1591026898
94	0.158099422
95	0.1576859225
96	0.1573541599
97	0.157124137
98	0.1561135054
99	0.1550685637
